epoch,tr_loss,vl_loss,dice,fpr,prec,rec
146,0.6624,0.9972,0.2780,0.0889,0.2863,0.4562
147,0.6624,0.9972,0.2780,0.0889,0.2863,0.4562
148,0.6624,0.9972,0.2780,0.0889,0.2863,0.4562
149,0.6624,0.9972,0.2780,0.0889,0.2863,0.4562
150,0.6624,0.9972,0.2780,0.0888,0.2863,0.4562
151,0.6624,0.9972,0.2780,0.0889,0.2863,0.4562
152,0.6624,0.9972,0.2780,0.0888,0.2863,0.4562
153,0.6623,0.9972,0.2780,0.0889,0.2863,0.4562
154,0.6624,0.9972,0.2780,0.0888,0.2863,0.4562
155,0.6623,0.9972,0.2780,0.0889,0.2863,0.4562
156,0.6623,0.9972,0.2780,0.0888,0.2863,0.4562
157,0.6623,0.9972,0.2780,0.0888,0.2863,0.4562
158,0.6623,0.9972,0.2780,0.0888,0.2863,0.4562
159,0.6623,0.9972,0.2780,0.0888,0.2863,0.4562
160,0.6623,0.9972,0.2780,0.0888,0.2863,0.4562
161,0.6623,0.9971,0.2780,0.0888,0.2863,0.4563
162,0.6623,0.9971,0.2780,0.0888,0.2863,0.4562
163,0.6623,0.9971,0.2780,0.0888,0.2863,0.4562
164,0.6623,0.9972,0.2780,0.0888,0.2863,0.4562
165,0.6624,0.9972,0.2780,0.0888,0.2863,0.4562
166,0.6623,0.9972,0.2780,0.0888,0.2863,0.4562
167,0.6623,0.9972,0.2780,0.0888,0.2863,0.4562
168,0.6623,0.9972,0.2780,0.0888,0.2863,0.4562
169,0.6623,0.9972,0.2780,0.0888,0.2863,0.4562
170,0.6623,0.9972,0.2780,0.0888,0.2863,0.4562
171,0.6623,0.9972,0.2780,0.0888,0.2863,0.4562
172,0.6623,0.9972,0.2779,0.0888,0.2862,0.4562
173,0.6623,0.9972,0.2779,0.0888,0.2862,0.4562
174,0.6623,0.9972,0.2779,0.0888,0.2862,0.4562
175,0.6623,0.9972,0.2780,0.0888,0.2863,0.4563
176,0.6623,0.9972,0.2780,0.0888,0.2863,0.4563
177,0.6623,0.9972,0.2780,0.0888,0.2863,0.4563
178,0.6623,0.9972,0.2780,0.0888,0.2863,0.4563
179,0.6623,0.9972,0.2780,0.0888,0.2862,0.4563
180,0.6623,0.9972,0.2779,0.0888,0.2862,0.4563
